periodo,variable,tipo,psi,alerta_psi,ks_stat,ks_pval,alerta_ks,js,alerta_js,chi2_stat,chi2_pval,alerta_chi2
2025-01,capital_prestado,numérica,0.0146,🟢 ESTABLE,0.0253,0.9078,🟢 ESTABLE,0.047,🟢 ESTABLE,,,
2025-01,plazo_meses,numérica,0.0108,🟢 ESTABLE,0.032,0.6923,🟢 ESTABLE,0.0247,🟢 ESTABLE,,,
2025-01,edad_cliente,numérica,0.0152,🟢 ESTABLE,0.0312,0.7186,🟢 ESTABLE,0.0485,🟢 ESTABLE,,,
2025-01,salario_cliente,numérica,0.0293,🟢 ESTABLE,0.0484,0.2003,🟢 ESTABLE,0.0724,🟢 ESTABLE,,,
2025-01,total_otros_prestamos,numérica,0.036,🟢 ESTABLE,0.0433,0.3152,🟢 ESTABLE,0.0729,🟢 ESTABLE,,,
2025-01,cuota_pactada,numérica,0.0281,🟢 ESTABLE,0.0354,0.5648,🟢 ESTABLE,0.0638,🟢 ESTABLE,,,
2025-01,cant_creditosvigentes,numérica,0.0229,🟢 ESTABLE,0.058,0.0737,🟢 ESTABLE,0.053,🟢 ESTABLE,,,
2025-01,huella_consulta,numérica,0.0199,🟢 ESTABLE,0.0272,0.8569,🟢 ESTABLE,0.0595,🟢 ESTABLE,,,
2025-01,creditos_sectorFinanciero,numérica,0.0175,🟢 ESTABLE,0.0512,0.1514,🟢 ESTABLE,0.0471,🟢 ESTABLE,,,
2025-01,creditos_sectorCooperativo,numérica,0.0002,🟢 ESTABLE,0.0124,1.0,🟢 ESTABLE,0.0018,🟢 ESTABLE,,,
2025-01,creditos_sectorReal,numérica,0.0035,🟢 ESTABLE,0.0182,0.9963,🟢 ESTABLE,0.0132,🟢 ESTABLE,,,
2025-01,año_prestamo,numérica,0.0037,🟢 ESTABLE,0.0227,0.9591,🟢 ESTABLE,0.0317,🟢 ESTABLE,,,
2025-01,mes_prestamo,numérica,0.0327,🟢 ESTABLE,0.0493,0.1826,🟢 ESTABLE,0.0652,🟢 ESTABLE,,,
